gene_family	n_occurrences	n_plasmid	n_chromosome	pct_plasmid	crude_odds_ratio	crude_ci_lo	crude_ci_hi	crude_fisher_p	species_adjusted_MH_or	species_adjusted_ci_lo	species_adjusted_ci_hi	n_species_strata	n_species_with_within_estimate	within_species_all_same_direction	within_species_detail	unique_plasmids_carrying	unique_genomes_carrying	unique_bioprojects_carrying	largest_mob_cluster_share_pct	lineage_dominated_flag	crude_bh_q	significant_after_bh	survives_species_adjustment
dfrB1	28	16	12	57.14	1.195	0.5653	2.5264	0.707413848386375	4.0912	0.9841	17.0094	6	0			15	26	19	37.5	no	0.7305319480068447	no	no
msr(E)	841	480	361	57.07	1.194	1.0408	1.3698	0.011234629796851792	2.7282	2.2377	3.3262	11	4	yes	Acinetobacter baumannii:n=386,OR=1.21;Klebsiella pneumoniae:n=234,OR=5.89;Pseudomonas aeruginosa:n=35,OR=12.3;Enterobacter hormaechei:n=20,OR=4.5	463	795	407	24.79	no	0.012770298618004196	yes	yes
tmexD	43	24	19	55.81	1.1322	0.6201	2.0671	0.7608126450051859	9.0735	2.334	35.2733	4	0			24	40	32	20.83	no	0.780574012407918	no	yes
qnrVC1	56	31	25	55.36	1.1114	0.6561	1.8827	0.7891957682973825	7.9836	4.402	14.4794	1	1	yes	Pseudomonas aeruginosa:n=44,OR=7.98	31	54	46	83.87	yes	0.7993136627627335	no	yes
blaPER	76	41	35	53.95	1.0499	0.6686	1.6487	0.9086200208203028	5.6598	3.4427	9.3047	3	2	yes	Acinetobacter baumannii:n=36,OR=6.97;Pseudomonas aeruginosa:n=29,OR=5.87	39	70	62	39.02	no	0.914407409487948	no	yes
tet(Y)	27	14	13	51.85	0.9652	0.4536	2.0536	1.0	0.8803	0.1082	7.1607	1	0			13	26	15	21.43	no	1.0	no	no
tmexD3	50	25	25	50.0	0.8962	0.5147	1.5604	0.777331923722013	5.2135	2.5466	10.6731	1	1	yes	Pseudomonas aeruginosa:n=31,OR=5.21	25	39	34	52.0	yes	0.7923770577295358	no	yes
tet(X4)	43	21	22	48.84	0.8554	0.4703	1.5557	0.6485819289113613	5.5646	1.3306	23.2723	6	0			20	24	19	38.1	no	0.6741838471578624	no	yes
armA	600	268	332	44.67	0.7216	0.6139	0.8481	7.867075445281557e-05	1.8887	1.5155	2.3538	8	3	no	Acinetobacter baumannii:n=327,OR=0.392;Klebsiella pneumoniae:n=214,OR=4.51;Pseudomonas aeruginosa:n=24,OR=51	262	583	287	41.42	no	9.943983362835888e-05	yes	yes
toprJ	25	11	14	44.0	0.7041	0.3196	1.5511	0.4267141881625704	4.6455	1.6891	12.7764	2	0			11	23	21	63.64	yes	0.4524888706690343	no	yes
floR2	191	81	110	42.41	0.6592	0.4946	0.8787	0.0045754973158791505	2.505	1.5931	3.9387	5	2	no	Klebsiella pneumoniae:n=67,OR=66;Pseudomonas aeruginosa:n=94,OR=0.572	80	176	103	61.73	yes	0.005476731635673529	yes	yes
aph(3')	2902	1189	1713	40.97	0.6103	0.5659	0.6581	2.2986518690257198e-38	1.5398	1.3808	1.717	11	6	no	Acinetobacter baumannii:n=731,OR=1.15;Klebsiella pneumoniae:n=814,OR=8.35;Pseudomonas aeruginosa:n=958,OR=0.142;Klebsiella michiganensis:n=39,OR=0.196;Klebsiella oxytoca:n=27,OR=1.56;Enterobacter hormaechei:n=77,OR=1.53	1096	2276	972	14.38	no	7.411979496042117e-38	yes	yes
tet(G)	202	80	122	39.6	0.5868	0.4425	0.7783	0.00022576157374057384	2.0383	1.3064	3.1804	5	2	no	Klebsiella pneumoniae:n=68,OR=32.7;Pseudomonas aeruginosa:n=101,OR=0.369	79	185	103	62.5	yes	0.00027867444258602086	yes	yes
cmlA	23	9	14	39.13	0.576	0.2493	1.331	0.2143198104100934	1.6571	0.553	4.9654	5	0			9	23	17	33.33	no	0.23035734724350176	no	no
blaOXA	4818	1862	2956	38.65	0.5428	0.5113	0.5763	1.8285293133643767e-91	1.7363	1.5919	1.8938	11	7	no	Acinetobacter baumannii:n=1750,OR=0.885;Klebsiella pneumoniae:n=1304,OR=4.89;Pseudomonas aeruginosa:n=1118,OR=0.381;Klebsiella oxytoca:n=30,OR=10.7;Enterobacter cloacae:n=21,OR=6.52;Enterobacter hormaechei:n=131,OR=3.95;Klebsiella quasipneumoniae:n=24,OR=16.5	1714	3115	1200	13.59	no	1.111183198121429e-90	yes	yes
cmlA6	22	8	14	36.36	0.512	0.2148	1.2207	0.13861391689548813	1.4294	0.3127	6.5334	1	0			8	22	15	75.0	yes	0.1500068415718296	no	no
tet(B)	528	172	356	32.58	0.4305	0.3587	0.5167	8.444580480053593e-21	1.3576	1.0684	1.7251	8	3	no	Acinetobacter baumannii:n=385,OR=0.83;Klebsiella pneumoniae:n=50,OR=3.58;Enterobacter hormaechei:n=63,OR=7.46	171	522	180	36.63	no	1.991408531117116e-20	yes	yes
blaGES	141	45	96	31.91	0.4194	0.2943	0.5978	7.105164353545515e-07	1.9881	1.2707	3.1103	8	1	yes	Pseudomonas aeruginosa:n=103,OR=0.517	39	94	37	24.44	no	1.0023356855894567e-06	yes	yes
tmexC3	35	10	25	28.57	0.3583	0.1721	0.7462	0.005917340203511931	0.9418	0.2434	3.6442	2	1	yes	Pseudomonas aeruginosa:n=20,OR=0.793	10	25	20	60.0	yes	0.0069254796455917415	yes	no
sat2	113	31	82	27.43	0.3383	0.2237	0.5115	6.937183775266032e-08	0.2072	0.126	0.3408	5	2	yes	Acinetobacter baumannii:n=29,OR=0.456;Klebsiella pneumoniae:n=63,OR=0.226	31	97	68	51.61	yes	1.0641505208660514e-07	yes	yes
blaCARB	99	26	73	26.26	0.3188	0.2037	0.4988	1.449580974437543e-07	1.1254	0.6051	2.0928	4	2	no	Acinetobacter baumannii:n=28,OR=2.93;Pseudomonas aeruginosa:n=45,OR=0.331	25	97	67	23.08	no	2.172907570496587e-07	yes	no
aac(6')-Ib'	236	56	180	23.73	0.2778	0.2057	0.3751	1.0948167178369165e-19	0.73	0.4731	1.1265	7	3	no	Acinetobacter baumannii:n=152,OR=0.0401;Klebsiella pneumoniae:n=22,OR=22;Pseudomonas aeruginosa:n=29,OR=1.14	52	223	98	26.79	no	2.543838844385777e-19	yes	no
aadA11	25	5	20	20.0	0.224	0.084	0.5968	0.001054789307538358	1.1121	0.3289	3.7599	2	1	yes	Pseudomonas aeruginosa:n=20,OR=1.26	5	24	18	60.0	yes	0.001281974696854312	yes	no
aacA16	25	5	20	20.0	0.224	0.084	0.5968	0.001054789307538358	0.6583	0.1593	2.7208	4	0			5	25	15	40.0	no	0.001281974696854312	yes	no
blaSHV	3577	744	2833	20.8	0.2206	0.2032	0.2394	0.0	0.109	0.1003	0.1185	10	2	no	Klebsiella pneumoniae:n=3375,OR=0.0793;Enterobacter hormaechei:n=114,OR=3.96	678	2909	1008	27.15	no	0.0	yes	yes
blaIMI	22	4	18	18.18	0.1991	0.0674	0.5883	0.0011102726253731485				1	0			4	22	12	50.0	yes	0.0013391074412897517	yes	not_estimable
fosA5	33	3	30	9.09	0.0896	0.0273	0.2935	1.7008073410612475e-07	0.0527	0.0164	0.1694	3	1	yes	Klebsiella pneumoniae:n=30,OR=0.00797	3	33	24	100.0	yes	2.5114725223147394e-07	yes	yes
catB8	165	7	158	4.24	0.0395	0.0185	0.0843	3.4976204581706225e-42	0.0904	0.0298	0.2742	8	1	yes	Acinetobacter baumannii:n=154,OR=0.0196	7	164	65	42.86	no	1.2013565921542575e-41	yes	yes
ant(3'')	841	30	811	3.57	0.0324	0.0225	0.0467	6.198746983657015e-220	0.0311	0.0125	0.0774	2	1	yes	Acinetobacter baumannii:n=772,OR=0.0218	30	835	294	40.0	no	1.0882244704642314e-218	yes	yes
cmx	29	1	28	3.45	0.032	0.0044	0.2351	2.0773866600488803e-08	0.2193	0.0312	1.5426	2	1	yes	Pseudomonas aeruginosa:n=28,OR=0.264	1	21	14	100.0	yes	3.217912669487481e-08	yes	no
dfrB5	35	1	34	2.86	0.0263	0.0036	0.1924	1.612852611777156e-10	0.2224	0.0304	1.6297	1	1	yes	Pseudomonas aeruginosa:n=33,OR=0.222	1	19	16	100.0	yes	2.7109650283062834e-10	yes	no
blaPLA	21	0	21	0.0	0.0208	0.0013	0.3439	1.457773433371128e-07				1	0			0	21	16		no	2.172907570496587e-07	yes	not_estimable
oqxB6	21	0	21	0.0	0.0208	0.0013	0.3439	1.457773433371128e-07				1	1	yes	Klebsiella pneumoniae:n=21,OR=0.0113	0	21	19		no	2.172907570496587e-07	yes	not_estimable
fosA2	24	0	24	0.0	0.0183	0.0011	0.3006	1.5375864471225364e-08				1	0			0	24	15		no	2.405333253914463e-08	yes	not_estimable
oqxB15	26	0	26	0.0	0.0169	0.001	0.2773	3.4322053415951533e-09				2	1	yes	Klebsiella variicola:n=24,OR=0.0296	0	26	15		no	5.4776610502225685e-09	yes	not_estimable
blaOXY-6	28	0	28	0.0	0.0157	0.001	0.2574	7.660919252761207e-10				2	0			0	28	15		no	1.2608596270169486e-09	yes	not_estimable
blaCMH	31	0	31	0.0	0.0142	0.0009	0.2323	8.077805243482369e-11				1	1	yes	Enterobacter cloacae:n=31,OR=0.00948	0	31	26		no	1.3872752483371895e-10	yes	not_estimable
oqxB14	34	0	34	0.0	0.013	0.0008	0.2117	8.516225198019604e-12				1	1	yes	Klebsiella pneumoniae:n=34,OR=0.00705	0	34	15		no	1.511869192457413e-11	yes	not_estimable
oqxA3	35	0	35	0.0	0.0126	0.0008	0.2056	4.023018257440304e-12				1	1	yes	Klebsiella pneumoniae:n=35,OR=0.00685	0	35	19		no	7.2231464167678185e-12	yes	not_estimable
oqxB9	35	0	35	0.0	0.0126	0.0008	0.2056	4.023018257440304e-12				2	1	yes	Klebsiella variicola:n=32,OR=0.022	0	35	14		no	7.2231464167678185e-12	yes	not_estimable
blaORN	44	0	44	0.0	0.0101	0.0006	0.1633	4.709795470740417e-15				1	1	yes	Klebsiella ornithinolytica:n=41,OR=0.00232	0	44	34		no	9.419590941480834e-15	yes	not_estimable
blaOXY-2	45	0	45	0.0	0.0098	0.0006	0.1597	2.2245472288689272e-15				1	1	yes	Klebsiella oxytoca:n=45,OR=0.00295	0	45	23		no	4.506134130272955e-15	yes	not_estimable
aadA6	48	0	48	0.0	0.0092	0.0006	0.1496	2.3438035029937854e-16				1	1	yes	Pseudomonas aeruginosa:n=48,OR=0.0731	0	39	31		no	4.937612712973574e-16	yes	not_estimable
blaMIR	51	0	51	0.0	0.0087	0.0005	0.1408	2.4691188290618878e-17				1	0			0	51	36		no	5.344120205366826e-17	yes	not_estimable
oqxB20	51	0	51	0.0	0.0087	0.0005	0.1408	2.4691188290618878e-17				1	1	yes	Klebsiella pneumoniae:n=51,OR=0.00471	0	51	26		no	5.344120205366826e-17	yes	not_estimable
blaOXY-1	53	0	53	0.0	0.0084	0.0005	0.1355	5.50710295726669e-18				2	1	yes	Klebsiella michiganensis:n=47,OR=0.0063	0	53	43		no	1.2255243200677985e-17	yes	not_estimable
blaOKP-A	54	0	54	0.0	0.0082	0.0005	0.1329	2.600782295973089e-18				1	1	yes	Klebsiella quasipneumoniae:n=54,OR=0.00582	0	54	36		no	5.870337182339258e-18	yes	not_estimable
ampC-Kaer	62	0	62	0.0	0.0072	0.0004	0.1157	6.431544045310655e-21				1	1	yes	Klebsiella aerogenes:n=61,OR=0.00735	0	62	33		no	1.5396726653925507e-20	yes	not_estimable
blaADC	947	6	941	0.63	0.0056	0.0025	0.0124	1.4810966503796627e-296	0.0279	0.0104	0.0747	1	1	yes	Acinetobacter baumannii:n=801,OR=0.0279	4	922	322	50.0	yes	4.680265415199734e-295	yes	yes
oqxA11	87	0	87	0.0	0.0051	0.0003	0.0823	4.564616225073884e-29				1	1	yes	Klebsiella pneumoniae:n=87,OR=0.00277	0	87	53		no	1.2020156059361229e-28	yes	not_estimable
oqxB32	90	0	90	0.0	0.0049	0.0003	0.0796	4.8002106813273e-30				1	1	yes	Klebsiella pneumoniae:n=90,OR=0.00267	0	90	53		no	1.2854801485588363e-29	yes	not_estimable
blaOKP-B	90	0	90	0.0	0.0049	0.0003	0.0796	4.8002106813273e-30				2	1	yes	Klebsiella quasipneumoniae:n=87,OR=0.0034	0	90	56		no	1.2854801485588363e-29	yes	not_estimable
fosA10	97	0	97	0.0	0.0046	0.0003	0.0738	2.504352036901958e-32				1	1	yes	Klebsiella pneumoniae:n=97,OR=0.00248	0	97	42		no	7.065850389830525e-32	yes	not_estimable
oqxB5	100	0	100	0.0	0.0044	0.0003	0.0716	2.6324195780536305e-33				1	1	yes	Klebsiella pneumoniae:n=100,OR=0.00241	0	100	48		no	7.702264691342104e-33	yes	not_estimable
fosA7	117	0	117	0.0	0.0038	0.0002	0.0611	7.504367283193773e-39				4	1	yes	Klebsiella pneumoniae:n=102,OR=0.00236	0	117	49		no	2.4701875640512834e-38	yes	not_estimable
oqxA10	158	0	158	0.0	0.0028	0.0002	0.0452	3.1202522580846464e-52				1	1	yes	Klebsiella pneumoniae:n=158,OR=0.00152	0	158	79		no	1.1465112948311026e-51	yes	not_estimable
oqxB	2505	8	2497	0.32	0.0027	0.0013	0.0053	0.0	0.0012	0.0005	0.0027	9	9	yes	Klebsiella pneumoniae:n=1305,OR=0.00169;Klebsiella aerogenes:n=75,OR=0.0057;Klebsiella michiganensis:n=64,OR=0.00432;Klebsiella oxytoca:n=55,OR=0.00225;Enterobacter cloacae:n=63,OR=0.00417;Enterobacter hormaechei:n=359,OR=0.00111;Klebsiella quasipneumoniae:n=139,OR=0.0019;Klebsiella variicola:n=99,OR=0.00641;Klebsiella ornithinolytica:n=42,OR=0.00224	8	2498	882	50.0	yes	0.0	yes	yes
oqxB25	165	0	165	0.0	0.0027	0.0002	0.0433	1.6162397565974288e-54				1	1	yes	Klebsiella pneumoniae:n=165,OR=0.00145	0	165	80		no	6.08014003672366e-54	yes	not_estimable
blaLEN	178	0	178	0.0	0.0025	0.0002	0.0401	9.179329828908492e-59				2	1	yes	Klebsiella variicola:n=160,OR=0.00353	0	177	66		no	3.816668718335636e-58	yes	not_estimable
fosA	4614	7	4607	0.15	0.0012	0.0006	0.0025	0.0	0.0009	0.0004	0.002	8	8	yes	Klebsiella pneumoniae:n=2667,OR=0.000583;Pseudomonas aeruginosa:n=881,OR=0.00713;Klebsiella aerogenes:n=77,OR=0.00551;Enterobacter cloacae:n=59,OR=0.00932;Enterobacter hormaechei:n=341,OR=0.000587;Klebsiella quasipneumoniae:n=142,OR=0.00185;Klebsiella variicola:n=161,OR=0.0035;Klebsiella ornithinolytica:n=42,OR=0.00224	7	4611	1670	14.29	no	0.0	yes	yes
oqxA	3282	5	3277	0.15	0.0012	0.0005	0.003	0.0	0.0004	0.0001	0.0013	8	8	yes	Klebsiella pneumoniae:n=2092,OR=0.000392;Klebsiella aerogenes:n=75,OR=0.0057;Klebsiella michiganensis:n=64,OR=0.00432;Klebsiella oxytoca:n=55,OR=0.00225;Enterobacter cloacae:n=63,OR=0.00417;Enterobacter hormaechei:n=359,OR=0.00111;Klebsiella quasipneumoniae:n=139,OR=0.0019;Klebsiella variicola:n=159,OR=0.00356	5	3277	1064	40.0	no	0.0	yes	yes
blaPDC	892	1	891	0.11	0.001	0.0001	0.007	1.1601334282458434e-290	0.0071	0.001	0.0505	1	1	yes	Pseudomonas aeruginosa:n=884,OR=0.0071	1	891	430	100.0	yes	3.0550180277140543e-289	yes	yes
oqxB19	581	0	581	0.0	0.0008	0.0	0.0121	6.206037233754612e-191				1	1	yes	Klebsiella pneumoniae:n=578,OR=0.000403	0	581	260		no	7.003956306665918e-190	yes	not_estimable
blaACT	602	0	602	0.0	0.0007	0.0	0.0117	7.515668341488152e-198				3	2	yes	Enterobacter cloacae:n=33,OR=0.00885;Enterobacter hormaechei:n=378,OR=0.000516	0	602	229		no	1.0795232708682982e-196	yes	not_estimable
catB7	871	0	871	0.0	0.0005	0.0	0.008	1.0298512261616091e-286				1	1	yes	Pseudomonas aeruginosa:n=868,OR=0.00361	0	870	421		no	2.324521339050489e-285	yes	not_estimable
