group	n_occurrences	weight_total	n_observed	n_censored_at_10kb	F_1000	F_2000	F_5000	F_10000	F_1000_ci95	F_2000_ci95	F_5000_ci95	F_10000_ci95	restricted_mean_distance_bp	restricted_mean_distance_bp_ci95	auc_detection_bp	auc_detection_bp_ci95	median_distance_bp
A. baumannii	8005	4138.0	6477	1528	0.5224207090235365	0.5877907885036934	0.5963589495730627	0.6322619623006284	[0.4845184290676737, 0.5546896193826972]	[0.5468753916953042, 0.6208879277667241]	[0.5559283538831005, 0.6291322848604439]	[0.5932240800518214, 0.66425428792764]	4180.01275855113	[3863.7291815380827, 4567.150508865447]	5819.98724144887	[5432.849491134553, 6136.270818461917]	647.0
P. aeruginosa	7150	4102.0	2861	4289	0.09934636101749704	0.1256285090390405	0.14095959230649624	0.17169894951464917	[0.0775336848402093, 0.12175408832294586]	[0.09833749701189354, 0.15292837432764275]	[0.10976335662879136, 0.1724204352540488]	[0.1374662556602734, 0.20554938164669648]	8594.702346860167	[8301.886928948055, 8889.556840645786]	1405.2976531398326	[1110.4431593542129, 1698.113071051944]	not reached
Klebsiella group	15568	10887.0	5325	10243	0.10386594730446723	0.12266024271923388	0.15332290546283092	0.23902360613575824	[0.08127816858820414, 0.1261367279299027]	[0.0974405068739252, 0.14765682628537966]	[0.12792833287353322, 0.17915902358003563]	[0.21316386792867303, 0.26468635712539773]	8365.280079061886	[8120.3274073444145, 8614.482351169765]	1634.7199209381142	[1385.517648830234, 1879.672592655585]	not reached
