sensitivity	group	n_occurrences	n_observed	n_censored_at_10kb	F_1000	F_2000	F_5000	F_10000	restricted_mean_distance_bp	median_distance_bp
PRIMARY_block_balanced	A. baumannii	8005	5571	2434	0.3531139913601248	0.3956356267919825	0.43146487226054653	0.4554789680273006	5872.691033928126	not reached
PRIMARY_block_balanced	P. aeruginosa	7150	1838	5312	0.027610265567359665	0.04931918736770029	0.08170582938379134	0.09540453316660046	9280.698404939636	not reached
PRIMARY_block_balanced	Klebsiella group	15568	3486	12082	0.0633004717809376	0.07358092793989823	0.10214908489358648	0.1435346944371469	8987.63997089409	not reached
S1_occurrence_weighted	A. baumannii	8005	5571	2434	0.4919425359150531	0.5982510930668332	0.6758276077451593	0.6959400374765772	3721.875952529669	1104.0
S1_occurrence_weighted	P. aeruginosa	7150	1838	5312	0.07146853146853147	0.12503496503496503	0.2172027972027972	0.25706293706293704	8089.475664335664	not reached
S1_occurrence_weighted	Klebsiella group	15568	3486	12082	0.11041880781089414	0.13322199383350464	0.1817831449126413	0.2239208633093525	8277.18467368962	not reached
