contrast	group_a	group_b	landmark_bp	value_a	value_b	difference	ci_lo	ci_hi	p_bootstrap	p_holm
N1	A. baumannii	Klebsiella group	1000	0.3531139913601248	0.0633004717809376	0.28981351957918716	0.25635555257571724	0.3173391423700973	0.0005	0.001
N1	A. baumannii	Klebsiella group	2000	0.3956356267919825	0.07358092793989823	0.32205469885208426	0.28371515535021297	0.352508235656345	0.0005	0.001
N1	A. baumannii	Klebsiella group	5000	0.43146487226054653	0.10214908489358648	0.32931578736696004	0.29045472882030515	0.3591970309024538	0.0005	0.001
N1	A. baumannii	Klebsiella group	10000	0.4554789680273006	0.1435346944371469	0.3119442735901537	0.27177463519244777	0.3446720164568006	0.0005	0.001
N2	A. baumannii	P. aeruginosa	1000	0.3531139913601248	0.027610265567359665	0.3255037257927651	0.29943454646902307	0.3476621408001268	0.0005	0.001
N2	A. baumannii	P. aeruginosa	2000	0.3956356267919825	0.04931918736770029	0.3463164394242822	0.31625050497130125	0.3706464544425766	0.0005	0.001
N2	A. baumannii	P. aeruginosa	5000	0.43146487226054653	0.08170582938379134	0.3497590428767552	0.31572572097760826	0.3782811047367439	0.0005	0.001
N2	A. baumannii	P. aeruginosa	10000	0.4554789680273006	0.09540453316660046	0.3600744348607001	0.3258611159475263	0.3897114783418253	0.0005	0.001
