group	n_occurrences	n_observed	n_censored_at_10kb	weight_total	F_1000	F_2000	F_5000	F_10000	F_1000_ci95	F_2000_ci95	F_5000_ci95	F_10000_ci95	restricted_mean_distance_bp	restricted_mean_distance_bp_ci95	auc_detection_bp	median_distance_bp
A. baumannii	8005	5571	2434	4138.0	0.3531139913601248	0.3956356267919825	0.43146487226054653	0.4554789680273006	[0.326822173179407, 0.37521816108266576]	[0.3661128011235033, 0.4195943535184122]	[0.40282707781963095, 0.45495861060103054]	[0.4281551447395527, 0.4786723583481863]	5872.691033928126	[5644.905909905807, 6150.710778739259]	4127.308966071874	not reached
P. aeruginosa	7150	1838	5312	4102.0	0.027610265567359665	0.04931918736770029	0.08170582938379134	0.09540453316660046	[0.02160716171096993, 0.034022356194247226]	[0.038994558433784805, 0.059731411976035875]	[0.06268774356567701, 0.10181734698524732]	[0.0729657852301867, 0.11799904047825858]	9280.698404939636	[9112.96803942732, 9441.83674572435]	719.301595060364	not reached
Klebsiella group	15568	3486	12082	10887.0	0.0633004717809376	0.07358092793989823	0.10214908489358648	0.1435346944371469	[0.04800356152568636, 0.08111419113270854]	[0.05627704837260403, 0.0938962058624326]	[0.0834407175523162, 0.12406901496887364]	[0.12298767313355137, 0.16808071061547444]	8987.63997089409	[8771.492339012257, 9168.516958015669]	1012.3600291059101	not reached
